'sample interval','ECG'
'0.00138889 sec','mV'
0,0.185
1,0.185
2,0.169
3,0.185
4,0.185
5,0.185
6,0.185
7,0.185
8,0.185
9,0.200
10,0.200
11,0.192
12,0.200
13,0.192
14,0.192
15,0.208
16,0.215
17,0.208
18,0.215
19,0.215
20,0.200
21,0.208
22,0.208
23,0.208
24,0.208
25,0.200
26,0.192
27,0.192
28,0.208
29,0.208
30,0.192
31,0.215
32,0.223
33,0.223
34,0.223
35,0.223
36,0.231
37,0.231
38,0.223
39,0.231
40,0.231
41,0.231
42,0.223
43,0.231
44,0.215
45,0.223
46,0.231
47,0.223
48,0.223
49,0.223
50,0.223
51,0.223
52,0.223
53,0.215
54,0.215
55,0.215
56,0.223
57,0.223
58,0.215
59,0.215
60,0.208
61,0.208
62,0.223
63,0.215
64,0.208
65,0.223
66,0.215
67,0.208
68,0.223
69,0.223
70,0.215
71,0.208
72,0.223
73,0.223
74,0.215
75,0.223
76,0.215
77,0.208
78,0.215
79,0.223
80,0.223
81,0.215
82,0.223
83,0.223
84,0.223
85,0.223
86,0.215
87,0.231
88,0.223
89,0.231
90,0.223
91,0.231
92,0.231
93,0.223
94,0.223
95,0.238
96,0.246
97,0.231
98,0.231
99,0.238
100,0.231
101,0.231
102,0.231
103,0.223
104,0.215
105,0.215
106,0.215
107,0.223
108,0.231
109,0.223
110,0.223
111,0.231
112,0.246
113,0.238
114,0.246
115,0.262
116,0.246
117,0.246
118,0.254
119,0.246
120,0.238
121,0.238
122,0.231
123,0.223
124,0.223
125,0.223
126,0.215
127,0.215
128,0.215
129,0.223
130,0.231
131,0.231
132,0.254
133,0.262
134,0.277
135,0.277
136,0.269
137,0.277
138,0.262
139,0.262
140,0.262
141,0.269
142,0.277
143,0.285
144,0.262
145,0.254
146,0.254
147,0.262
148,0.246
149,0.262
150,0.277
151,0.262
152,0.262
153,0.277
154,0.277
155,0.277
156,0.277
157,0.277
158,0.285
159,0.292
160,0.292
161,0.292
162,0.300
163,0.285
164,0.285
165,0.292
166,0.308
167,0.323
168,0.315
169,0.300
170,0.285
171,0.300
172,0.308
173,0.300
174,0.300
175,0.285
176,0.277
177,0.285
178,0.292
179,0.285
180,0.300
181,0.285
182,0.292
183,0.308
184,0.315
185,0.315
186,0.308
187,0.308
188,0.308
189,0.323
190,0.308
191,0.300
192,0.300
193,0.300
194,0.292
195,0.308
196,0.308
197,0.277
198,0.277
199,0.285
200,0.277
201,0.277
202,0.277
203,0.262
204,0.269
205,0.262
206,0.254
207,0.262
208,0.269
209,0.254
210,0.262
211,0.246
212,0.231
213,0.238
214,0.231
215,0.223
216,0.231
217,0.238
218,0.223
219,0.223
220,0.231
221,0.223
222,0.208
223,0.208
224,0.200
225,0.200
226,0.192
227,0.185
228,0.192
229,0.192
230,0.192
231,0.200
232,0.192
233,0.192
234,0.185
235,0.185
236,0.177
237,0.185
238,0.200
239,0.192
240,0.208
241,0.223
242,0.208
243,0.223
244,0.231
245,0.223
246,0.223
247,0.231
248,0.223
249,0.223
250,0.238
251,0.238
252,0.231
253,0.246
254,0.262
255,0.246
256,0.254
257,0.246
258,0.246
259,0.254
260,0.269
261,0.277
262,0.292
263,0.308
264,0.323
265,0.338
266,0.354
267,0.392
268,0.392
269,0.400
270,0.431
271,0.462
272,0.469
273,0.492
274,0.515
275,0.531
276,0.554
277,0.585
278,0.577
279,0.577
280,0.569
281,0.554
282,0.554
283,0.569
284,0.554
285,0.531
286,0.531
287,0.508
288,0.462
289,0.438
290,0.438
291,0.415
292,0.392
293,0.385
294,0.377
295,0.369
296,0.369
297,0.362
298,0.354
299,0.354
300,0.346
301,0.331
302,0.354
303,0.354
304,0.331
305,0.331
306,0.338
307,0.331
308,0.315
309,0.315
310,0.315
311,0.323
312,0.331
313,0.308
314,0.300
315,0.300
316,0.292
317,0.285
318,0.277
319,0.277
320,0.262
321,0.254
322,0.238
323,0.246
324,0.238
325,0.238
326,0.246
327,0.238
328,0.231
329,0.238
330,0.238
331,0.231
332,0.223
333,0.223
334,0.223
335,0.215
336,0.215
337,0.215
338,0.223
339,0.215
340,0.215
341,0.223
342,0.223
343,0.223
344,0.223
345,0.223
346,0.223
347,0.215
348,0.231
349,0.215
350,0.215
351,0.215
352,0.223
353,0.215
354,0.215
355,0.208
356,0.215
357,0.223
358,0.208
359,0.208
360,0.208
361,0.192
362,0.200
363,0.200
364,0.192
365,0.200
366,0.208
367,0.208
368,0.208
369,0.223
370,0.223
371,0.208
372,0.223
373,0.223
374,0.223
375,0.223
376,0.223
377,0.223
378,0.223
379,0.215
380,0.215
381,0.215
382,0.215
383,0.215
384,0.215
385,0.215
386,0.208
387,0.208
388,0.208
389,0.208
390,0.208
391,0.208
392,0.208
393,0.215
394,0.208
395,0.208
396,0.215
397,0.215
398,0.200
399,0.208
400,0.215
401,0.208
402,0.185
403,0.192
404,0.177
405,0.162
406,0.177
407,0.177
408,0.177
409,0.169
410,0.169
411,0.177
412,0.169
413,0.169
414,0.169
415,0.162
416,0.162
417,0.146
418,0.162
419,0.162
420,0.154
421,0.154
422,0.169
423,0.162
424,0.146
425,0.169
426,0.177
427,0.162
428,0.154
429,0.162
430,0.162
431,0.169
432,0.162
433,0.154
434,0.162
435,0.177
436,0.169
437,0.162
438,0.162
439,0.162
440,0.154
441,0.154
442,0.169
443,0.169
444,0.154
445,0.154
446,0.162
447,0.154
448,0.138
449,0.146
450,0.146
451,0.138
452,0.138
453,0.138
454,0.131
455,0.123
456,0.123
457,0.115
458,0.115
459,0.131
460,0.123
461,0.123
462,0.131
463,0.123
464,0.100
465,0.100
466,0.092
467,0.092
468,0.100
469,0.092
470,0.092
471,0.085
472,0.085
473,0.085
474,0.092
475,0.100
476,0.100
477,0.100
478,0.100
479,0.108
480,0.092
481,0.115
482,0.131
483,0.123
484,0.123
485,0.115
486,0.123
487,0.115
488,0.123
489,0.123
490,0.123
491,0.123
492,0.138
493,0.123
494,0.138
495,0.146
496,0.146
497,0.138
498,0.146
499,0.154
500,0.146
501,0.154
502,0.154
503,0.154
504,0.162
505,0.162
506,0.162
507,0.177
508,0.177
509,0.185
510,0.185
511,0.192
512,0.185
513,0.185
